,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
0,2020-08-20,2.787857,3.077784,2.692896,2.90008,2.90008,48819867.0,0.1126009999999999,0.812201,0.075201,,,
1,2020-08-21,2.896923,3.090093,2.730919,2.875028,2.875028,49313137.0,0.0688957368421052,0.8591764385964912,0.0367553859649122,0.0398202771084337,0.9236154578313251,0.0365672650602409
2,2020-08-22,2.87857,4.510613,2.816762,4.48469,4.48469,485801096.0,0.0693991481481481,0.8906584074074074,0.0399454444444444,0.0623587981651376,0.9059643027522936,0.031698247706422
3,2020-08-23,4.487058,4.487058,3.716271,3.967066,3.967066,320749483.0,0.0764357826086956,0.8836857826086957,0.039892304347826,0.084549523206751,0.901325894514768,0.014127582278481
4,2020-08-24,3.987413,4.783158,3.81267,4.602614,4.602614,407690171.0,0.1080646363636363,0.8490828181818181,0.0337373636363636,0.0492213389830508,0.9319388531073444,0.0188484576271186
5,2020-08-25,4.584953,5.760775,4.501223,5.523393,5.523393,898847538.0,0.0966248532110091,0.8609184311926605,0.0424780642201834,0.0762427061611374,0.90942754028436,0.0143422322274881
6,2020-08-26,5.541406,6.554688,5.136205,6.081716,6.081716,1054351759.0,0.1066538925619834,0.8541414958677686,0.0309514132231404,0.0870046101083032,0.8909360180505415,0.0220587617328519
7,2020-08-27,6.075772,6.78918,5.313926,5.628337,5.628337,1289248953.0,0.0943343333333333,0.8762843333333332,0.0293593333333333,0.0685565555555555,0.9157869078590786,0.0156703766937669
8,2020-08-28,5.639486,6.333746,5.540963,6.159955,6.159955,727162235.0,0.0724024084507042,0.9030784647887324,0.0244728309859154,0.0750143333333333,0.901777,0.0232169999999999
9,2020-08-29,6.175925,6.562906,6.042309,6.159143,6.159143,527290028.0,0.1045816451612903,0.8769284193548388,0.018509064516129,0.0734335581395348,0.9046568139534884,0.0219126279069767
10,2020-08-30,6.15344,6.219506,5.749978,5.869881,5.869881,485335136.0,0.0980129047619047,0.8737629047619048,0.0282152857142857,0.0424787777777777,0.9451176666666664,0.0123954444444444
11,2020-08-31,5.905918,6.459377,5.772966,6.30002,6.30002,512604781.0,0.0982193908045977,0.8726906551724138,0.0290699655172413,0.043189679245283,0.9421771006289308,0.0146362201257861
12,2020-09-01,6.29881,6.838898,6.172324,6.288767,6.288767,601527409.0,0.0837714918032786,0.8842469016393443,0.015640344262295,0.0499732222222222,0.9353398888888887,0.0146954444444444
13,2020-09-02,6.282686,6.432652,5.657442,6.139465,6.139465,584155028.0,0.0818343333333333,0.889501,0.0286815555555555,0.0788397096774193,0.90252788172043,0.0186407849462365
14,2020-09-03,6.131179,6.318079,5.68259,5.747868,5.747868,763663457.0,0.1046311369863013,0.8503297671232877,0.044959904109589,0.056638037037037,0.9141861851851852,0.0291935925925925
15,2020-09-04,5.72661,5.981395,4.62672,5.146038,5.146038,845787793.0,0.0949520489510489,0.8521408601398601,0.0529240769230769,0.0757411960784313,0.895422568627451,0.0288343333333333
16,2020-09-05,5.136033,5.311784,3.653468,4.122313,4.122313,805800385.0,0.0777307297297297,0.885473972972973,0.0367712702702702,0.0666132448979591,0.9107492993197278,0.0226472585034013
17,2020-09-06,4.137032,4.90165,3.759745,4.799468,4.799468,924160482.0,0.1495141578947368,0.8118825789473685,0.0386325789473684,0.054477510067114,0.9212358993288592,0.0242895906040268
18,2020-09-07,4.796048,4.820003,4.032633,4.594669,4.594669,675375183.0,0.089276,0.882801,0.027976,0.0623525625,0.9167744375,0.0208994375
19,2020-09-08,4.588958,4.61644,4.119595,4.274324,4.274324,519440288.0,0.0646450677966101,0.8846620169491526,0.0507976101694915,0.0582467627118644,0.919958627118644,0.0217976101694915
20,2020-09-09,4.282868,4.796723,4.158873,4.708939,4.708939,534097094.0,0.1177047037037037,0.8389145802469137,0.043396061728395,0.0599408496240601,0.9182641578947368,0.021797992481203
21,2020-09-10,4.709849,4.870141,4.471295,4.581584,4.581584,633577674.0,0.1224852105263157,0.845422052631579,0.0320746842105263,0.066826,0.9119843333333332,0.0211926666666666
22,2020-09-11,4.579848,4.74811,4.31713,4.645567,4.645567,633472140.0,0.0959555454545454,0.8822585757575757,0.0218040303030303,0.058987301369863,0.9186516849315068,0.0223708630136986
23,2020-09-12,4.650602,5.280156,4.516019,5.137037,5.137037,753745737.0,0.1285367142857142,0.7868105238095238,0.0846676666666666,0.0488719677419354,0.938022505376344,0.0131085268817204
24,2020-09-13,5.145041,5.478801,4.806826,5.297951,5.297951,1099475714.0,0.1014176666666666,0.8716954444444444,0.0268898888888888,0.0508206721311475,0.9292687595628416,0.0199190327868852
25,2020-09-14,5.29642,5.602782,5.126425,5.348709,5.348709,1008259712.0,0.0982047037037037,0.8579084074074074,0.0438713703703703,0.0572938571428571,0.9213652857142858,0.0213438571428571
26,2020-09-15,5.366626,5.451917,5.095706,5.095706,5.095706,897864384.0,0.0558319859154929,0.8947333943661973,0.0494235352112676,0.0709839545454545,0.9113191818181818,0.0177055454545454
