,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
0,2019-04-28,0.004521,0.004545,0.004317,0.004421,0.004421,8408136,,,,,,
1,2019-04-29,0.004418,0.004492,0.003471,0.003471,0.003471,8267044,,,,0.0673167894736842,0.8925536315789473,0.0401588947368421
2,2019-04-30,0.003462,0.005078,0.003458,0.004478,0.004478,25072706,,,,0.0804009999999999,0.905751,0.013926
3,2019-05-01,0.00444,0.004673,0.004071,0.004374,0.004374,10567352,,,,0.0699193673469387,0.9084907959183672,0.0216336530612244
4,2019-05-02,0.004366,0.0047,0.004096,0.004198,0.004198,6714908,,,,0.0724874864864864,0.9017037027027026,0.0258658648648648
5,2019-05-03,0.004192,0.004396,0.003952,0.004256,0.004256,5702394,,,,0.0503488260869565,0.939001,0.010696652173913
6,2019-05-04,0.004256,0.004265,0.003819,0.003968,0.003968,3178995,,,,0.022626,0.970001,0.007376
7,2019-05-05,0.003969,0.004065,0.003578,0.003747,0.003747,3467564,,,,0.0523343333333333,0.8802232222222222,0.0674454444444444
8,2019-05-06,0.003746,0.003932,0.003523,0.003769,0.003769,4689162,,,,0.0932115263157894,0.8746325789473685,0.0321588947368421
9,2019-05-07,0.003768,0.003851,0.00335,0.003364,0.003364,3805657,,,,0.0774127647058823,0.9086480588235294,0.0138833529411764
10,2019-05-08,0.003343,0.003482,0.00326,0.003352,0.003352,2938835,,,,0.075251,0.906601,0.018151
11,2019-05-09,0.003351,0.00338,0.003012,0.003141,0.003141,4588498,,,,0.0583539411764705,0.9416480588235292,1e-06
12,2019-05-10,0.003143,0.00389,0.003099,0.00377,0.00377,8654899,,,,0.0409384999999999,0.9520635,0.0070635
13,2019-05-11,0.003775,0.004944,0.003732,0.004608,0.004608,13370479,,,,0.0933479387755101,0.8962458979591837,0.0104091632653061
14,2019-05-12,0.004619,0.005704,0.004443,0.005273,0.005273,17955639,,,,0.0894600163934426,0.8956075573770492,0.0149682131147541
15,2019-05-13,0.005273,0.009172,0.005125,0.008667,0.008667,74304041,,,,0.0944487611940298,0.8842248805970149,0.0213144328358208
16,2019-05-14,0.008548,0.011146,0.007257,0.007753,0.007753,98051040,,,,0.0896584074074074,0.896963962962963,0.0133991481481481
17,2019-05-15,0.007731,0.010022,0.007102,0.009512,0.009512,49168290,,,,0.0491548461538461,0.936055945054945,0.0148251758241758
18,2019-05-16,0.009549,0.01197,0.008346,0.010909,0.010909,59175168,,,,0.0657635,0.924376,0.0098635
19,2019-05-17,0.010863,0.015077,0.009329,0.014353,0.014353,168390964,,,,0.0642301666666666,0.92090725,0.014876
20,2019-05-18,0.014353,0.014799,0.012092,0.012293,0.012293,56628223,,,,0.0655864922279792,0.8940631761658031,0.0403688756476683
21,2019-05-19,0.01232,0.020749,0.012309,0.020231,0.020231,141440073,,,,0.076951,0.902026,0.0210135
22,2019-05-20,0.020231,0.032911,0.019292,0.029343,0.029343,396597433,,,,0.073683119205298,0.8943453708609272,0.0319413973509933
23,2019-05-21,0.029349,0.045017,0.025149,0.029454,0.029454,698132268,,,,0.0907255762711864,0.876479813559322,0.0327933728813559
24,2019-05-22,0.029454,0.031612,0.020417,0.022186,0.022186,266364855,,,,0.0855408009950248,0.8828019950248756,0.0316577164179104
25,2019-05-23,0.022186,0.033811,0.021874,0.027273,0.027273,419427516,,,,0.0752826091954022,0.8954665172413793,0.0292711149425287
26,2019-05-24,0.027429,0.028596,0.022959,0.025363,0.025363,150950422,,,,0.0672140177514792,0.916172597633136,0.0166223017751479
27,2019-05-25,0.025363,0.028343,0.023134,0.025002,0.025002,148137222,,,,0.0770536315789473,0.8858036315789473,0.0371457368421052
28,2019-05-26,0.024888,0.027305,0.023041,0.024399,0.024399,95970365,,,,0.0984080796460177,0.8739921504424778,0.0276293185840708
29,2019-05-27,0.024386,0.024906,0.020935,0.022173,0.022173,81723337,,,,0.0796676666666666,0.900126,0.0202093333333333
30,2019-05-28,0.022252,0.025102,0.021033,0.023642,0.023642,93128408,,,,0.0998793783783783,0.8686901891891892,0.0314334324324324
31,2019-05-29,0.023642,0.024821,0.022103,0.022108,0.022108,56456075,,,,0.0931405348837209,0.8871986744186047,0.0196637906976744
32,2019-05-30,0.022108,0.023276,0.018683,0.019793,0.019793,53390395,,,,0.0607657058823529,0.9251333529411764,0.0140598235294117
33,2019-05-31,0.019793,0.022962,0.019465,0.022288,0.022288,58953725,,,,0.0696176666666666,0.9063676666666666,0.0240176666666666
34,2019-06-01,0.0222,0.022875,0.020689,0.021059,0.021059,56083345,,,,0.0705419836065573,0.9145255901639344,0.0149518196721311
35,2019-06-02,0.021059,0.022192,0.019685,0.020114,0.020114,34962106,,,,0.0913442835820895,0.8897621940298507,0.0188965223880597
36,2019-06-03,0.020114,0.020953,0.018844,0.019113,0.019113,32081991,,,,0.0925426666666666,0.8892718333333334,0.0182093333333333
37,2019-06-04,0.019168,0.02184,0.018027,0.021228,0.021228,74180051,,,,0.0567068823529411,0.931001,0.012236294117647
38,2019-06-05,0.021307,0.023483,0.01969,0.022862,0.022862,97965656,,,,0.097661,0.858481,0.0438209999999999
39,2019-06-06,0.022839,0.025107,0.021726,0.023727,0.023727,97713487,,,,0.1225990392156862,0.8633637450980393,0.0140206078431372
40,2019-06-07,0.023677,0.024918,0.022488,0.024509,0.024509,44071890,,,,0.0703386623376623,0.9107152857142856,0.0189750259740259
